메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,주재료 이름,조리시간
콘치즈구이,['구이'],서양,메인요리,매우 쉬움,"['옥수수통조림 1/2캔', '피자치즈 30g']",20
토마토치즈구이,['구이'],서양,메인요리,매우 쉬움,"['토마토 5개', '모짜렐라치즈 70g']",60
홍합구이,['구이'],서양,메인요리,매우 쉬움,['홍합 12개'],20
홍합치즈구이,['구이'],서양,메인요리,매우 쉬움,['홍합 20개'],30
고구마크로켓,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,['고구마 4개'],30
고등어샐러드,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,"['고등어 1/2마리', '양상추 1/2개']",30
골드 코스트 코코넛 쉬림프,"['튀김', '커틀릿']",서양,메인요리,쉬움,['새우(중하) 6마리'],60
닭날개너트봉,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,['닭(날개) 5개'],30
머스터드소스와치킨너겟,"['튀김', '커틀릿']",서양,간식,매우 쉬움,['닭(안심) 300g'],30
모짜렐라치즈튀김,"['튀김', '커틀릿']",서양,간식,매우 쉬움,['모짜렐라치즈 225g'],60
미니핫도그,"['튀김', '커틀릿']",서양,간식,매우 쉬움,"['비엔나소시지 10개', '빵가루 3컵']",30
베이컨메추리알말이,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,"['베이컨 10장', '메추리알 10개']",20
식빵모서리튀김,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,['식빵(모서리) 100g'],30
양파링카레튀김,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,['양파 1개'],30
옥수수크로켓,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,"['감자 2개', '스위트콘 1/2캔']",30
치킨까스와 허니머스터드드레싱,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,['닭안심 2조각'],30
튀김볼모듬,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,"['새우 200g', '고등어 200g', '굴비 200g', '갈치 200g', '오렌지 1개', '방울토마토 약간']",30
프라이드그린토마토,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,"['토마토 2개', '샐러드오일 약간']",30
허브를입혀튀긴고등어샐러리,"['튀김', '커틀릿']",서양,메인요리,쉬움,['고등어 1/2마리'],60
허브를입혀튀긴새우와레몬드레싱,"['튀김', '커틀릿']",서양,메인요리,매우 쉬움,['새우 3마리'],30
단호박크림찜,['찜'],서양,메인요리,매우 쉬움,"['단호박 1/2개', '크림치즈 3큰술']",20
제육배추찜,['찜'],서양,메인요리,매우 쉬움,"['돼지고기(갈은것) 300g', '부추 50g', '양파 1/4개', '배춧잎 10장']",30
토마토와찐갈치,['찜'],서양,메인요리,매우 쉬움,"['갈치 1마리', '토마토 1/2개']",20
건강식과일해산물샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['생홍합 10개', '바지락 10개', '파인애플 1쪽', '사과 1/4개']",30
과일샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['사과 1개', '자몽 1개', '샐러리 1대', '오이 1개', '딸기 4개']",20
과일샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['방울토마토 8개', '키위 2개', '파인애플통조림 4조각', '과일통조림 약간']",20
그린샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,['양상추 250g'],10
당근채 견과류샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['당근 3개', '건포도 6큰술', '아몬드', '땅콩 300g']",30
레이즌쇠고기샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['쇠고기(안심) 100g', '어린잎채소 200g']",30
레이즌컨츄리샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['브로콜리 1송이', '건포도 1/2컵', '피칸 1/4컵', '베이컨 4줄', '적양파 1/4개']",20
레이즌푸실리컵샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['닭고기(안심) 300g', '건포도 30g', '푸실리(삼색푸실리) 50g']",30
멕시칸샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['햄 50g', '피망 1개', '샐러리 1대', '피망 1/2개', '오이 1/2개', '양배추잎(잎) 2장', '삶은계란노른자(삶은것) 1개']",30
모듬샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['파마산치즈 약간', '샐러드 50g', '체리토마토 3개']",20
무당근피클,"['나물', '생채', '샐러드']",서양,반찬,쉬움,"['무 1/3개', '당근 3개', '월계수잎 약간']",60
바질토마토두부샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['두부 1모', '토마토 2개', '바질 20장']",20
사과치즈샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['치즈(연질) 100g', '사과 1개', '상추 약간']",20
새우와 아보카도샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['새우 2마리', '아보카도 1개', '소금 약간']",30
새우와토마토샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['새우(중하) 5마리', '체리토마토 10개', '미림 120ml']",30
시금치샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['시금치 70g', '양송이버섯 4개', '베이컨 4장']",20
시저샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['식빵 3장', '양파 1/2개', '양상추 1/2통', '방울토마토 7개', '치커리 적당량']",15
양상추참치샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['참치 1/2캔', '양파 15g', '당근 10g', '오이 20g', '양상추 40g']",20
연어샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['훈제연어 160g', '앤다이브 40g']",10
월도프치킨샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['사과 1개', '샐러리 1대', '귤 2개', '브로콜리 1/2송이', '호두 40g', '건포도 30g']",30
젤리샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['젤리 100g', '샐러드용채소 50g']",30
치즈아보카도,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['아보카도 1개', '크림치즈 4큰술']",20
치즈토마토,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,['토마토 4개'],20
치킨텐더,"['나물', '생채', '샐러드']",서양,반찬,쉬움,['닭고기(안심) 6개'],60
컵샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['햄 1/2개', '방울토마토 10개', '오이 1개', '춘권피 4장']",30
콘샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,['옥수수통조림 1캔'],20
콩샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,['콩(통조림) 1/2컵'],30
크레송샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['베이컨 1장', '크레송 50g']",30
